,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS,WS_per_48,BPM,VORP
2678,1978,27.0,IND,Wayne Radford,Indiana University,1,52,649,202,68,57,0.474,0.0,0.8,12.5,3.9,1.3,1.1,0.7,0.049,-2.9,-0.2
2679,1978,28.0,HOU,Buster Matheney,University of Utah,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2680,1978,29.0,DET,John Long,University of Detroit Mercy,14,893,22680,12131,2492,1738,0.467,0.322,0.862,25.4,13.6,2.8,1.9,32.0,0.068,-1.8,1.2
2681,1978,30.0,BOS,Jeff Judkins,University of Utah,5,272,3421,1482,427,282,0.478,0.315,0.812,12.6,5.4,1.6,1.0,6.3,0.08800000000000001,-1.9,0.1
2682,1978,31.0,CHI,Marvin Johnson,University of New Mexico,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2683,1978,32.0,NYK,John Rudd,McNeese State University,1,58,723,184,167,35,0.444,0.0,0.71,12.5,3.2,2.9,0.6,0.6,0.04,-3.4,-0.3
2684,1978,33.0,CLE,Harry Davis,Florida State University,2,44,424,175,72,16,0.436,0.0,0.6890000000000001,9.6,4.0,1.6,0.4,0.3,0.033,-5.4,-0.4
2685,1978,34.0,NYK,Greg Bunch,"California State University, Fullerton",1,12,97,28,17,4,0.34600000000000003,0.0,0.833,8.1,2.3,1.4,0.3,0.1,0.046,-4.0,0.0
2686,1978,35.0,NOJ,Tommie Green,Southern University and A&M College,1,59,809,232,68,140,0.38799999999999996,0.0,0.762,13.7,3.9,1.2,2.4,-0.3,-0.017,-5.2,-0.7
2687,1978,36.0,PHI,Maurice Cheeks,West Texas A&M University,15,1101,34845,12195,3088,7392,0.523,0.255,0.7929999999999999,31.6,11.1,2.8,6.7,103.5,0.14300000000000002,1.9,33.9
2688,1978,37.0,WSB,Terry Sykes,Grambling State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2689,1978,38.0,LAL,Lew Massey,University of North Carolina at Charlotte,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2690,1978,39.0,SEA,James Lee,University of Kentucky,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2691,1978,40.0,GSW,Wayne Cooper,University of New Orleans,14,984,20274,7777,6095,852,0.457,0.146,0.736,20.6,7.9,6.2,0.9,36.9,0.087,-1.7,1.4
2692,1978,41.0,SDC,Jerome Whitehead,Marquette University,11,679,11828,4423,3268,374,0.49700000000000005,0.0,0.718,17.4,6.5,4.8,0.6,16.4,0.067,-3.5,-4.4
2693,1978,42.0,SEA,Kevin McDonald,University of Pennsylvania,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2694,1978,43.0,PHI,Glenn Hagan,St. Bonaventure University,1,4,25,7,4,8,0.429,0.0,1.0,6.3,1.8,1.0,2.0,0.1,0.201,3.7,0.0
2695,1978,44.0,POR,Clemon Johnson,Florida Agricultural and Mechanical University,10,761,13310,4102,3508,744,0.49200000000000005,0.0,0.621,17.5,5.4,4.6,1.0,25.5,0.092,-0.4,5.4
2698,1978,45.0,NJN,Mike Phillips,University of Kentucky,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2699,1978,46.0,DEN,Hollis Copeland,Rutgers University,2,93,1260,464,161,89,0.488,0.0,0.7390000000000001,13.5,5.0,1.7,1.0,1.3,0.05,-2.5,-0.1
2700,1978,47.0,HOU,Billy Ray Bates,Kentucky State University,4,187,3328,2197,313,352,0.474,0.303,0.7959999999999999,17.8,11.7,1.7,1.9,6.9,0.099,-1.8,0.2
2701,1978,48.0,SDC,Mike Santos,Utah State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2702,1978,49.0,KCK,Jeff Cook,Idaho State University,8,518,9697,2734,2334,707,0.462,0.055999999999999994,0.716,18.7,5.3,4.5,1.4,17.7,0.08800000000000001,-0.3,4.2
2703,1978,50.0,BOS,Dana Skinner,Merrimack College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2704,1978,51.0,SDC,Ricky Gallon,University of Louisville,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2705,1978,52.0,KCK,Mike Russell,Texas Tech University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2706,1978,53.0,CHI,Randy Ayers,Miami University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2707,1978,54.0,ATL,Steve Grant,Manhattan College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2708,1978,55.0,NYK,Marc Iavaroni,University of Virginia,7,531,8371,2328,1725,514,0.45899999999999996,0.0,0.71,15.8,4.4,3.2,1.0,8.0,0.046,-2.3,-0.6
2709,1978,56.0,GSW,Steve Neff,Southern Nazarene University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2710,1978,57.0,CLE,Ken Higgs,Louisiana State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2711,1978,58.0,WSB,Rick Apke,Creighton University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2712,1978,59.0,MIL,Pat Cummings,University of Cincinnati,12,683,14516,6529,3825,807,0.49700000000000005,0.0,0.737,21.3,9.6,5.6,1.2,22.6,0.075,-2.3,-1.0
2713,1978,60.0,LAL,Michael Cooper,University of New Mexico,12,873,23635,7729,2769,3666,0.469,0.34,0.833,27.1,8.9,3.2,4.2,52.5,0.107,1.0,18.2
2714,1978,61.0,SEA,Dave Baxter,University of Michigan,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2715,1978,62.0,NJN,Dave Batton,University of Notre Dame,2,58,589,188,123,32,0.44799999999999995,0.0,0.47100000000000003,10.2,3.2,2.1,0.6,0.7,0.055,-3.0,-0.2
2716,1978,63.0,PHO,Joel Kramer,San Diego State University,5,328,4184,1257,916,343,0.479,0.0,0.737,12.8,3.8,2.8,1.0,9.1,0.105,-0.9,1.2
2717,1978,64.0,SAS,Gerald Henderson,Virginia Commonwealth University,13,871,18856,7773,1453,3141,0.47200000000000003,0.332,0.7759999999999999,21.6,8.9,1.7,3.6,32.1,0.08199999999999999,-1.1,4.3
2718,1978,65.0,SDC,Marvin Dalph,University of Arkansas,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2719,1978,66.0,POR,Sterling Edmunds,Dartmouth College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2722,1978,67.0,HOU,Jackie Robinson,"University of Nevada, Las Vegas",3,22,185,83,27,13,0.46299999999999997,0.0,0.7,8.4,3.8,1.2,0.6,0.3,0.08900000000000001,-3.3,-0.1
2723,1978,68.0,SDC,Jim Boylan,Marquette University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2724,1978,69.0,HOU,Joel Thompson,University of Michigan,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2725,1978,70.0,KCK,Jeffrey Crompton,University of North Carolina,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2726,1978,71.0,IND,Ricky Lee,Oregon State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2727,1978,72.0,BOS,Dave Nelson,Bloomfield College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2728,1978,73.0,SDC,Larry Harris,University of Pittsburgh,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2729,1978,74.0,NOJ,Mel Davis,University of North Texas,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2730,1978,75.0,NOJ,Jeff Covington,Youngstown State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2731,1978,76.0,SDC,Leroy McDonald,Wake Forest University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2732,1978,77.0,GSW,Derrick Jackson,Georgetown University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2733,1978,78.0,CLE,Stan Rome,Clemson University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2734,1978,79.0,NYK,Erving Giddings,University of Dayton,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2735,1978,80.0,MIL,Otis Howard,Austin Peay State University,1,14,113,59,41,5,0.429,0.0,0.478,8.1,4.2,2.9,0.4,0.2,0.064,-5.5,-0.1
2736,1978,81.0,WSB,Lawrence Boston,University of Maryland,1,13,125,56,39,2,0.462,0.0,0.615,9.6,4.3,3.0,0.2,0.2,0.075,-4.7,-0.1
2737,1978,82.0,LAL,Harold Robertson,Lincoln University of Missouri,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2738,1978,83.0,SEA,Billy Lewis,Illinois State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2739,1978,84.0,NJN,Walter Jordan,Purdue University,1,30,207,68,42,11,0.387,0.0,0.588,6.9,2.3,1.4,0.4,-0.1,-0.021,-4.5,-0.1
2740,1978,85.0,PHO,Bob Miller,University of Cincinnati,1,2,8,4,5,1,0.667,0.0,0.0,4.0,2.0,2.5,0.5,0.1,0.36,11.0,0.0
2741,1978,86.0,SAS,Rich Adams,University of Illinois at Urbana-Champaign,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2742,1978,87.0,PHI,Brett Vroman,"University of Nevada, Las Vegas",1,11,93,34,25,9,0.37,0.0,0.737,8.5,3.1,2.3,0.8,0.1,0.048,-2.4,0.0
2743,1978,88.0,PHO,Wayne Smith,"University of California, Irvine",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2746,1978,89.0,NJN,Cecile Rose,University of Houston,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2747,1978,90.0,SDC,David Thompson,Florida State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2748,1978,91.0,HOU,Gary Goodner,University of Texas at Austin,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2749,1978,92.0,IND,James Sparrow,North Carolina Agricultural and Technical State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2750,1978,93.0,KCK,Derick Clairborne,University of Massachusetts Amherst,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2751,1978,94.0,BOS,Greg Tynes,Seton Hall University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2752,1978,95.0,DET,Dave Caligaris,Northeastern University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2753,1978,96.0,NOJ,Duck Williams,University of Notre Dame,1,77,1794,506,106,183,0.447,0.0,0.7,23.3,6.6,1.4,2.4,-0.3,-0.009000000000000001,-4.4,-1.1
2754,1978,97.0,CHI,Ron Anthony,Jacksonville University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2755,1978,98.0,ATL,Chris Potter,College of the Holy Cross,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2756,1978,99.0,CLE,Ken Koenigs,University of Kansas,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2757,1978,100.0,NYK,Greg Green,Southern University and A&M College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2758,1978,101.0,GSW,Bubba Wilson,Western Carolina University,1,16,143,17,16,12,0.28,0.0,0.5,8.9,1.1,1.0,0.8,-0.2,-0.064,-7.5,-0.2
2759,1978,102.0,WSB,Roger Dickens,Towson University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2760,1978,103.0,MIL,Russ Coleman,University of the Pacific,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2761,1978,104.0,LAL,Carlos Terry,Winston-Salem State University,3,94,1078,285,227,124,0.434,0.0,0.672,11.5,3.0,2.4,1.3,1.5,0.066,0.4,0.6
2762,1978,105.0,SEA,Ralph Drollinger,"University of California, Los Angeles",1,6,67,15,19,14,0.5,0.0,0.25,11.2,2.5,3.2,2.3,-0.2,-0.11699999999999999,-6.4,-0.1
2763,1978,106.0,DEN,Michael Edwards,University of Texas-Pan American,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2764,1978,107.0,PHO,Andre Wakefield,Loyola University of Chicago,2,81,633,187,80,73,0.354,0.0,0.708,7.8,2.3,1.0,0.9,-1.1,-0.08,-7.9,-0.9
2765,1978,108.0,SAS,Eugene Parker,Purdue University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2766,1978,109.0,PHI,Mark Haymore,University of Massachusetts Amherst,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2767,1978,110.0,POR,Clay Johnson,University of Missouri,3,80,688,224,93,45,0.41,0.33299999999999996,0.7240000000000001,8.6,2.8,1.2,0.6,0.7,0.046,-3.2,-0.2
2770,1978,111.0,NJN,Golie Augustus,University of South Carolina,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2771,1978,112.0,SDC,Bob Miscevicious,Providence College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2772,1978,113.0,HOU,Eddie Joe Chavez,Santa Clara University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2773,1978,114.0,KCK,Jim Krivacs,University of Texas at Austin,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2774,1978,115.0,IND,Sherman Dillard,James Madison University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2775,1978,116.0,BOS,Dave Winey,University of Minnesota,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2776,1978,117.0,DET,Audie Matthews,University of Illinois at Urbana-Champaign,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2777,1978,118.0,NOJ,John Douglas,University of Kansas,2,67,1043,452,91,147,0.461,0.311,0.6629999999999999,15.6,6.7,1.4,2.2,0.5,0.022000000000000002,-3.4,-0.4
2778,1978,119.0,CHI,John Shoemaker,Miami University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2779,1978,120.0,ATL,Gerald Glover,Howard University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2780,1978,121.0,NYK,Ed Warren,Briar Cliff University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2781,1978,122.0,GSW,Buzz Hartnett,University of San Diego,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2782,1978,123.0,CLE,Ron Bell,Virginia Polytechnic Institute and State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2783,1978,124.0,MIL,Dave Kyle,Cleveland State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2784,1978,125.0,WSB,Archie Aldridge,Miami University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2785,1978,126.0,LAL,Kim Stewart,University of Washington,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2786,1978,127.0,DEN,Robert Heard,Columbus State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2787,1978,128.0,PHO,Charles Thompson,University of Houston,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2788,1978,129.0,SAS,Harry Morgan,Indiana State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2789,1978,130.0,PHI,Osborne Lockhart,University of Minnesota,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2790,1978,131.0,POR,Tim Evans,University of Puget Sound,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2793,1978,132.0,NJN,Doug Jemison,University of San Francisco,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2794,1978,133.0,SDC,Stan Pietkiewicz,Auburn University,3,96,1070,376,93,174,0.45799999999999996,0.33299999999999996,0.8059999999999999,11.1,3.9,1.0,1.8,1.5,0.066,-2.8,-0.2
2795,1978,134.0,HOU,Stan Stewart,Loyola Marymount University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2796,1978,135.0,IND,Ollie Matson,Pepperdine University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2797,1978,136.0,KCK,Charles McMilliam,University of North Texas,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2798,1978,137.0,BOS,Steve Balkun,Fairfield University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2799,1978,138.0,DET,Herb Entzminger,Johnson C. Smith University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,1978,139.0,NOJ,Willie Howard,University of New Mexico,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2801,1978,140.0,CHI,Jarvis Reynolds,State University of West Georgia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2802,1978,141.0,ATL,Jim DeWeese,Gonzaga University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2803,1978,142.0,GSW,Rick Bernard,Saint Mary's College of California,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2804,1978,143.0,CLE,Tony Smith,"University of Nevada, Las Vegas",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2805,1978,144.0,NYK,Gary Pember,Nasson College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2806,1978,145.0,WSB,Ed Hopkins,Georgetown University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2807,1978,146.0,MIL,Kim Anderson,University of Missouri,1,21,224,63,45,15,0.312,0.0,0.536,10.7,3.0,2.1,0.7,-0.4,-0.078,-8.3,-0.4
2808,1978,147.0,LAL,Larry Paige,Colorado State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2809,1978,148.0,DEN,Jack Gilloon,University of South Carolina,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2810,1978,149.0,PHO,Steve Malovic,San Diego State University,1,39,445,80,86,26,0.46299999999999997,0.0,0.667,11.4,2.1,2.2,0.7,0.3,0.027000000000000003,-3.7,-0.2
2811,1978,150.0,SAS,Hector Olivencia,Sacred Heart University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2812,1978,151.0,PHI,Anthony Murray,University of Alabama,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2813,1978,152.0,POR,Walter Reason,Pacific University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2816,1978,153.0,NJN,Bruce Campbell,Providence College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2817,1978,154.0,SDC,Felton Young,Jacksonville University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2818,1978,155.0,KCK,Ron Hammye,Bowling Green State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2819,1978,156.0,BOS,Kim Fisher,Fairfield University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2820,1978,157.0,DET,Earl Evans,"University of Nevada, Las Vegas",1,36,381,157,75,37,0.45,0.389,0.5710000000000001,10.6,4.4,2.1,1.0,0.1,0.015,-4.3,-0.2
2821,1978,158.0,NOJ,Carl Kilpatrick,University of Louisiana at Monroe,1,2,6,3,4,0,0.5,0.0,0.5,3.0,1.5,2.0,0.0,0.0,0.225,-17.1,0.0
2822,1978,159.0,CHI,Chubby Cox,University of San Francisco,1,7,78,29,10,6,0.35100000000000003,0.0,0.5,11.1,4.1,1.4,0.9,-0.2,-0.127,-9.7,-0.2
2823,1978,160.0,ATL,Ed Murphy,Merrimack College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2824,1978,161.0,CLE,Roland Martin,Missouri Southern State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2825,1978,162.0,NYK,Greg Sanders,St. Bonaventure University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2826,1978,163.0,GSW,Tony Searcy,Appalachian State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2827,1978,164.0,MIL,Tom Zaligaris,University of North Carolina,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2828,1978,165.0,WSB,Nestor Cora,St. Francis College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2829,1978,166.0,DEN,Larry Vaculik,University of Colorado,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2830,1978,167.0,PHO,George Fowler,University of the Pacific,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2831,1978,168.0,SAS,Henry Taylor,University of Texas-Pan American,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2832,1978,169.0,PHI,Alan Cunningham,Colorado State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2833,1978,170.0,POR,Mark Wickman,Linfield College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2836,1978,171.0,NJN,Frank Sowinski,Princeton University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2837,1978,172.0,SDC,Bobby White,Centenary College of Louisiana,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2838,1978,173.0,BOS,Les Anderson,George Washington University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2839,1978,174.0,DET,Ulice Payne,Marquette University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2840,1978,175.0,NOJ,Chad Nelson,Drake University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2841,1978,176.0,CHI,Joe Ponsetto,DePaul University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2842,1978,177.0,ATL,Maurice Robinson,West Virginia University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2843,1978,178.0,NYK,Danny Fields,University of North Carolina at Wilmington,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2844,1978,179.0,GSW,Bobby Humbles,Bradley University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2845,1978,180.0,CLE,Steve Bayless,Central State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2846,1978,181.0,WSB,Tim Claxton,Temple University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2847,1978,182.0,MIL,Gary Rosenberger,Marquette University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2848,1978,183.0,DEN,Tom Schneeburger,United States Air Force Academy,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
