,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS,WS_per_48,BPM,VORP
73,1966,62.0,SFW,Lon Hughey,"California State University, Fresno",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1966,63.0,STL,Jay Neary,University of North Carolina at Wilmington,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1966,64.0,BAL,Dave Mills,DePaul University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1966,65.0,CIN,Gary Schull,Florida State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1966,66.0,LAL,Tab Jackson,Albertson College of Idaho,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1966,67.0,BOS,Jerry Ward,University of Maryland,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1966,68.0,CHI,John Comeaux,Grambling State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1966,69.0,NYK,Mike Silliman,United States Military Academy,1,36,366,91,62,23,0.456,0.0,0.48700000000000004,10.2,2.5,1.7,0.6,0.3,0.037000000000000005,0.0,0.0
83,1966,70.0,DET,George McNeil,Southern Illinois University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1966,71.0,SFW,Ken Washington,"University of California, Los Angeles",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1966,72.0,STL,Brian Williams,Xavier University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1966,73.0,BAL,Roland West,University of Cincinnati,1,4,14,4,5,0,0.4,0.0,0.0,3.5,1.0,1.3,0.0,0.0,-0.003,0.0,0.0
87,1966,74.0,CIN,Ron Krick,University of Cincinnati,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1966,75.0,LAL,John Wetzel,Virginia Polytechnic Institute and State University,7,357,4714,1215,682,494,0.429,0.0,0.81,13.2,3.4,1.9,1.4,6.6,0.068,-2.0,0.0
89,1966,76.0,BOS,Russ Gumina,University of San Francisco,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1966,77.0,CHI,Stan Curtis,Northern Michigan University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1966,78.0,NYK,Bill Turner,University of Akron,6,294,4060,1597,1039,167,0.40700000000000003,0.0,0.728,13.8,5.4,3.5,0.6,4.8,0.057,0.0,0.0
94,1966,79.0,STL,Al Grant,Long Island University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1966,80.0,BAL,Chuck Gardner,University of Colorado,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1966,81.0,CIN,Billy Smith,Loyola University of Chicago,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1966,82.0,LAL,Julian Hammond,University of Tulsa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1966,83.0,PHI,Pat Caldwell,Rockhurst University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1966,84.0,CHI,Gene Summers,Northern Michigan University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1966,85.0,NYK,Richard Moore,Hiram Scott College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,1966,86.0,STL,Don Yates,University of Minnesota,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1966,87.0,BAL,Guy Manning,Prairie View A&M University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
